Postal_Code,Population
83856,5516
98001,27450
98002,27839
98003,39131
98004,32853
98005,17162
98006,30527
98007,22356
98008,21489
98010,4702
98011,21579
98012,56197
98014,5840
98019,8032
98020,16139
98021,25525
98022,17590
98023,39749
98024,4099
98025,0
98026,31675
98027,22653
98028,18670
98029,23534
98030,29116
98031,31614
98032,29498
98033,32189
98034,42322
98036,33754
98037,23604
98038,26753
98039,2167
98040,19582
98042,37424
98043,17418
98045,11945
98047,5345
98050,73
98051,2976
98052,59838
98053,16965
98055,19202
98056,29078
98057,11173
98058,32871
98059,31589
98065,11242
98068,467
98070,9001
98072,19721
98074,21246
98075,18027
98077,10989
98087,32601
98092,37610
98101,15773
98102,24449
98103,45117
98104,14208
98105,44803
98106,23102
98107,24813
98108,18607
98109,30307
98110,19556
98112,19523
98115,44619
98116,23508
98117,28784
98118,39045
98119,23015
98121,20274
98122,37505
98125,37157
98126,16891
98133,42690
98134,852
98136,14531
98144,27837
98146,22158
98148,8339
98154,0
98155,28634
98158,0
98164,219
98166,18152
98168,27552
98174,0
98177,16700
98178,21128
98188,21910
98195,2337
98198,30372
98199,18031
98201,24962
98203,29012
98204,32243
98207,1143
98208,46787
98220,530
98221,19095
98222,117
98223,35408
98224,208
98225,44210
98226,37525
98229,27496
98230,14690
98232,3286
98233,13269
98235,397
98236,5573
98237,3766
98238,45
98239,6600
98240,2443
98241,1748
98243,283
98244,2804
98245,3587
98247,6329
98248,20426
98249,3808
98250,7686
98251,3698
98252,7733
98253,1917
98255,251
98256,262
98257,3914
98258,36801
98260,4957
98261,2730
98262,914
98263,131
98264,16697
98266,3281
98267,160
98270,41237
98271,23859
98272,24291
98273,22903
98274,14317
98275,16719
98276,1134
98277,30967
98278,2351
98279,552
98280,355
98281,1091
98282,14919
98283,330
98284,21663
98286,139
98288,164
98290,31848
98292,19470
98294,5837
98295,2128
98296,21336
98297,55
98303,1486
98304,862
98305,216
98310,17683
98311,21832
98312,25569
98314,1518
98315,4483
98320,1243
98321,13097
98323,484
98325,1392
98326,878
98327,7359
98328,7476
98329,8795
98330,24
98331,4514
98332,15732
98333,2901
98335,21644
98336,416
98337,7998
98338,23923
98339,2761
98340,2501
98342,1136
98345,284
98346,8377
98349,4148
98350,232
98351,991
98353,14
98354,6231
98355,528
98356,2042
98357,1121
98358,816
98359,3745
98360,11343
98361,420
98362,20147
98363,11718
98364,18
98365,4621
98366,29199
98367,24713
98368,15132
98370,26378
98371,18012
98372,20579
98373,22846
98374,33093
98375,22488
98376,1842
98377,2165
98380,4259
98381,220
98382,26807
98383,18151
98385,387
98387,37664
98388,5748
98390,8980
98391,41250
98392,2679
98394,997
98396,494
98402,6783
98403,7256
98404,26832
98405,20197
98406,19191
98407,17308
98408,17003
98409,22039
98416,823
98418,8281
98421,790
98422,17131
98424,9006
98430,580
98433,14701
98438,560
98439,3816
98443,4624
98444,27001
98445,25636
98446,10325
98447,1067
98465,6310
98466,23635
98467,11830
98498,23378
98499,26679
98501,35645
98502,28371
98503,34372
98505,400
98506,16302
98512,25177
98513,28076
98516,20969
98520,19387
98524,3221
98526,140
98527,230
98528,9828
98530,400
98531,21028
98532,20575
98533,547
98535,322
98536,0
98537,2257
98538,342
98539,135
98541,7851
98542,652
98544,7
98546,2506
98547,1094
98548,2474
98550,9786
98552,186
98555,238
98556,448
98557,3195
98558,60
98559,0
98560,55
98562,78
98563,6064
98564,2292
98565,286
98566,198
98568,2154
98569,6518
98570,3382
98571,76
98572,556
98575,129
98576,3857
98577,5791
98579,11219
98580,9088
98581,425
98582,220
98583,129
98584,30344
98585,503
98586,1546
98587,733
98588,1494
98589,6139
98590,359
98591,3090
98592,1745
98593,1157
98595,2245
98596,5585
98597,19774
98601,2146
98602,124
98603,823
98604,28114
98605,1154
98606,7539
98607,25582
98609,0
98610,2279
98611,7181
98612,2683
98613,500
98614,480
98616,68
98617,832
98619,540
98620,5973
98621,257
98623,36
98624,1375
98625,5531
98626,20597
98628,332
98629,7439
98631,2966
98632,40002
98635,1473
98638,1209
98639,906
98640,4665
98641,55
98642,18373
98643,358
98644,628
98645,1667
98647,240
98648,2863
98649,684
98650,1008
98651,801
98660,10843
98661,39222
98662,28891
98663,12317
98664,18036
98665,22256
98670,61
98671,18824
98672,5949
98673,393
98674,10806
98675,5298
98682,50083
98683,25473
98684,27831
98685,23641
98686,15934
98801,33569
98802,23883
98811,120
98812,3699
98813,2217
98814,656
98815,5746
98816,5547
98817,107
98819,184
98821,646
98822,1675
98823,8561
98824,147
98826,6541
98827,405
98828,1594
98829,477
98830,429
98831,3083
98832,126
98833,142
98834,207
98836,607
98837,34562
98840,3551
98841,6819
98843,1897
98844,3561
98845,160
98846,942
98847,1751
98848,8733
98849,874
98850,1243
98851,3600
98852,26
98853,0
98855,4528
98856,2051
98857,2593
98858,1560
98859,251
98860,173
98862,2545
98901,24045
98902,32953
98903,12537
98908,29002
98921,0
98922,6418
98923,928
98925,475
98926,26485
98930,9716
98932,3190
98933,856
98934,809
98935,2979
98936,5479
98937,3446
98938,1279
98939,59
98940,409
98941,685
98942,13713
98943,573
98944,15918
98946,291
98947,1741
98948,9038
98950,54
98951,8976
98952,1288
98953,4875
99001,6577
99003,3691
99004,18123
99005,7818
99006,10508
99008,329
99009,3635
99011,2164
99012,849
99013,1022
99014,0
99016,14530
99017,179
99018,215
99019,8621
99020,15
99021,7282
99022,7198
99023,676
99025,4501
99026,7315
99027,4981
99029,1321
99030,495
99031,977
99032,724
99033,657
99034,180
99036,1280
99037,11777
99039,133
99040,543
99101,1307
99102,418
99103,434
99105,24
99109,4157
99110,1177
99111,3177
99113,457
99114,10014
99115,974
99116,1277
99117,428
99118,750
99119,1232
99121,296
99122,3153
99123,740
99124,188
99125,412
99126,512
99128,231
99129,552
99130,611
99131,120
99133,1179
99134,449
99135,324
99136,17
99137,333
99138,834
99139,689
99140,472
99141,4974
99143,572
99144,19
99146,59
99147,143
99148,2018
99149,148
99150,275
99151,146
99152,132
99153,364
99154,25
99155,749
99156,7448
99157,554
99158,473
99159,1037
99160,47
99161,1078
99163,29508
99166,2463
99167,653
99169,1914
99170,713
99171,811
99173,1346
99174,32
99176,128
99179,345
99180,537
99181,1525
99185,1004
99201,12752
99202,17722
99203,17422
99204,6388
99205,34485
99206,33519
99207,25585
99208,44277
99212,16667
99216,21618
99217,15197
99218,11916
99223,26935
99224,19125
99251,1048
99258,499
99301,57954
99320,7402
99321,606
99322,332
99323,2983
99324,7930
99326,4619
99328,3032
99329,125
99330,671
99333,74
99335,139
99336,37902
99337,24910
99338,12901
99341,619
99343,2233
99344,12068
99345,125
99346,293
99347,1935
99348,1078
99349,5266
99350,9986
99352,26903
99353,12306
99354,19493
99356,222
99357,2496
99359,100
99360,937
99361,1371
99362,35022
99363,61
99371,243
99401,206
99402,1281
99403,16403